date,day_of_stock,other
2022/1/1,-1,
2022/1/2,-1,
2022/1/3,1,
2022/1/4,2,
2022/1/5,3,
2022/1/6,4,
2022/1/7,5,
2022/1/8,-1,
2022/1/9,-1,
2022/1/10,6,
2022/1/11,7,
2022/1/12,8,
2022/1/13,9,
2022/1/14,10,
2022/1/15,-1,
2022/1/16,-1,
2022/1/17,11,
2022/1/18,12,
2022/1/19,13,
2022/1/20,14,
2022/1/21,15,
2022/1/22,-1,
2022/1/23,-1,
2022/1/24,16,
2022/1/25,17,
2022/1/26,18,
2022/1/27,-1,
2022/1/28,-1,
2022/1/29,-1,
2022/1/30,-1,
2022/1/31,-1,農曆春節除夕
2022/2/1,-1,農曆春節
2022/2/2,-1,農曆春節
2022/2/3,-1,農曆春節
2022/2/4,-1,農曆春節補假(0122補上班但交易所不交易)
2022/2/5,-1,
2022/2/6,-1,
2022/2/7,19,
2022/2/8,20,
2022/2/9,21,
2022/2/10,22,
2022/2/11,23,
2022/2/12,-1,
2022/2/13,-1,
2022/2/14,24,
2022/2/15,25,
2022/2/16,26,
2022/2/17,27,
2022/2/18,28,
2022/2/19,-1,
2022/2/20,-1,
2022/2/21,29,
2022/2/22,30,
2022/2/23,31,
2022/2/24,32,
2022/2/25,33,
2022/2/26,-1,
2022/2/27,-1,
2022/2/28,-1,和平紀念日
2022/3/1,34,
2022/3/2,35,
2022/3/3,36,
2022/3/4,37,
2022/3/5,-1,
2022/3/6,-1,
2022/3/7,38,
2022/3/8,39,
2022/3/9,40,
2022/3/10,41,
2022/3/11,42,
2022/3/12,-1,
2022/3/13,-1,
2022/3/14,43,
2022/3/15,44,
2022/3/16,45,
2022/3/17,46,
2022/3/18,47,
2022/3/19,-1,
2022/3/20,-1,
2022/3/21,48,
2022/3/22,49,
2022/3/23,50,
2022/3/24,51,
2022/3/25,52,
2022/3/26,-1,
2022/3/27,-1,
2022/3/28,53,
2022/3/29,54,
2022/3/30,55,
2022/3/31,56,
2022/4/1,57,
2022/4/2,-1,
2022/4/3,-1,
2022/4/4,-1,兒童節
2022/4/5,-1,民族掃墓節
2022/4/6,58,
2022/4/7,59,
2022/4/8,60,
2022/4/9,-1,
2022/4/10,-1,
2022/4/11,61,
2022/4/12,62,
2022/4/13,63,
2022/4/14,64,
2022/4/15,65,
2022/4/16,-1,
2022/4/17,-1,
2022/4/18,66,
2022/4/19,67,
2022/4/20,68,
2022/4/21,69,
2022/4/22,70,
2022/4/23,-1,
2022/4/24,-1,
2022/4/25,71,
2022/4/26,72,
2022/4/27,73,
2022/4/28,74,
2022/4/29,75,
2022/4/30,-1,
2022/5/1,-1,
2022/5/2,-1,勞動節補假(0501適逢星期日)
2022/5/3,76,
2022/5/4,77,
2022/5/5,78,
2022/5/6,79,
2022/5/7,-1,
2022/5/8,-1,
2022/5/9,80,
2022/5/10,81,
2022/5/11,82,
2022/5/12,83,
2022/5/13,84,
2022/5/14,-1,
2022/5/15,-1,
2022/5/16,85,
2022/5/17,86,
2022/5/18,87,
2022/5/19,88,
2022/5/20,89,
2022/5/21,-1,
2022/5/22,-1,
2022/5/23,90,
2022/5/24,91,
2022/5/25,92,
2022/5/26,93,
2022/5/27,94,
2022/5/28,-1,
2022/5/29,-1,
2022/5/30,95,
2022/5/31,96,
2022/6/1,97,
2022/6/2,98,
2022/6/3,-1,端午節
2022/6/4,-1,
2022/6/5,-1,
2022/6/6,99,
2022/6/7,100,
2022/6/8,101,
2022/6/9,102,
2022/6/10,103,
2022/6/11,-1,
2022/6/12,-1,
2022/6/13,104,
2022/6/14,105,
2022/6/15,106,
2022/6/16,107,
2022/6/17,108,
2022/6/18,-1,
2022/6/19,-1,
2022/6/20,109,
2022/6/21,110,
2022/6/22,111,
2022/6/23,112,
2022/6/24,113,
2022/6/25,-1,
2022/6/26,-1,
2022/6/27,114,
2022/6/28,115,
2022/6/29,116,
2022/6/30,117,
2022/7/1,118,
2022/7/2,-1,
2022/7/3,-1,
2022/7/4,119,
2022/7/5,120,
2022/7/6,121,
2022/7/7,122,
2022/7/8,123,
2022/7/9,-1,
2022/7/10,-1,
2022/7/11,124,
2022/7/12,125,
2022/7/13,126,
2022/7/14,127,
2022/7/15,128,
2022/7/16,-1,
2022/7/17,-1,
2022/7/18,129,
2022/7/19,130,
2022/7/20,131,
2022/7/21,132,
2022/7/22,133,
2022/7/23,-1,
2022/7/24,-1,
2022/7/25,134,
2022/7/26,135,
2022/7/27,136,
2022/7/28,137,
2022/7/29,138,
2021/7/28,136,
2021/7/29,137,
2021/7/30,138,
2021/7/31,-1,
2021/8/1,-1,
2021/8/2,139,
2021/8/3,140,
2021/8/4,141,
2021/8/5,142,
2021/8/6,143,
2021/8/7,-1,
2021/8/8,-1,
2021/8/9,144,
2021/8/10,145,
2021/8/11,146,
2021/8/12,147,
2021/8/13,148,
2021/8/14,-1,
2021/8/15,-1,
2021/8/16,149,
2021/8/17,150,
2021/8/18,151,
2021/8/19,152,
2021/8/20,153,
2021/8/21,-1,
2021/8/22,-1,
2021/8/23,154,
2021/8/24,155,
2021/8/25,156,
2021/8/26,157,
2021/8/27,158,
2021/8/28,-1,
2021/8/29,-1,
2021/8/30,159,
2021/8/31,160,
2021/9/1,161,
2021/9/2,162,
2021/9/3,163,
2021/9/4,-1,
2021/9/5,-1,
2021/9/6,164,
2021/9/7,165,
2021/9/8,166,
2021/9/9,167,
2021/9/10,168,
2021/9/11,-1,週休(補班)
2021/9/12,-1,
2021/9/13,169,
2021/9/14,170,
2021/9/15,171,
2021/9/16,172,
2021/9/17,173,
2021/9/18,-1,
2021/9/19,-1,
2021/9/20,-1,中秋節(彈性放假)
2021/9/21,-1,中秋節(彈性放假)
2021/9/22,174,
2021/9/23,175,
2021/9/24,176,
2021/9/25,-1,
2021/9/26,-1,
2021/9/27,177,
2021/9/28,178,
2021/9/29,179,
2021/9/30,180,
2021/10/1,181,
2021/10/2,-1,
2021/10/3,-1,
2021/10/4,182,
2021/10/5,183,
2021/10/6,184,
2021/10/7,185,
2021/10/8,186,
2021/10/9,-1,
2021/10/10,-1,
2021/10/11,-1,國慶(彈性放假)
2021/10/12,187,
2021/10/13,188,
2021/10/14,189,
2021/10/15,190,
2021/10/16,-1,
2021/10/17,-1,
2021/10/18,191,
2021/10/19,192,
