stock_code,date,time,tv,t,o,h,l,c,d,v,MA5,MA10,MA20,MA60,MA120,MA240
8046,2022-05-17,,2279497,925058825,404.5,409.5,401,407.5,6.5,2968,,,,,,
5102,2022-05-23,,10,247,24.65,24.65,24.65,24.65,0,2,,,,,,
3711,2022-05-18,,18463730,1797667233,98.400002,98.900002,96.5,96.900002,-0.40000001,14017,,,,,,
1303,2022-05-03,,5355831,462989159,87,87.099998,86,86.5,-0.2,3155,,,,,,
1303,2022-05-04,,5175695,448259960,86.599998,86.800003,86.5,86.599998,0.1,2209,,,,,,
1303,2022-05-05,,6354600,552528330,87.099998,87.300003,86.599998,87.099998,0.5,4039,,,,,,
1303,2022-05-06,,7851775,676299760,86,86.599998,85.699997,86.599998,-0.5,4447,,,,,,
1303,2022-05-09,,8508351,721871639,84.599998,85.199997,84.400002,84.699997,-1.9,4034,,,,,,
1303,2022-05-10,,9328090,785888020,84.599998,84.699997,83.900002,84.400002,-0.30000001,4491,,,,,,
1303,2022-05-11,,7624214,640997951,83.900002,84.400002,83.699997,84.400002,0,4114,,,,,,
1303,2022-05-12,,9829389,815725776,84,84,82.099998,82.099998,-2.3,7203,,,,,,
1303,2022-05-13,,12540075,1027286917,82.699997,82.699997,81.5,82,-0.1,6207,,,,,,
1303,2022-05-16,,10305527,839848188,82.599998,82.599998,81,81.199997,-0.80000001,5929,,,,,,
1303,2022-05-17,,12570027,1018933755,81.5,81.599998,80.800003,81.300003,0.1,6818,,,,,,
1326,2022-05-03,,1138675,91007841,79.800003,80,79.599998,80,0.1,1584,,,,,,
1326,2022-05-04,,1335955,106956251,80.099998,80.5,79.800003,80,0,1016,,,,,,
1326,2022-05-05,,2527742,201831854,80.199997,80.300003,79.599998,79.699997,-0.30000001,2531,,,,,,
1326,2022-05-06,,4137588,327132421,79,79.599998,78.800003,79.199997,-0.5,3581,,,,,,
1326,2022-05-09,,2886325,226870597,78.599998,78.900002,78.400002,78.599998,-0.60000002,1618,,,,,,
1326,2022-05-10,,3902231,306683135,78.699997,78.800003,78.199997,78.699997,0.1,2480,,,,,,
1326,2022-05-11,,3262080,255496396,78.300003,79.099998,78.099998,78.199997,-0.5,2446,,,,,,
1326,2022-05-12,,6166776,475277091,78.199997,78.199997,76.099998,76.099998,-2.0999999,4835,,,,,,
1326,2022-05-13,,4435592,342662797,77.699997,77.900002,77,77.199997,1.1,3269,,,,,,
1326,2022-05-16,,2956716,229167711,78.300003,78.300003,77.099998,77.300003,0.1,1949,,,,,,
1326,2022-05-17,,3106145,242742377,78,78.400002,77.599998,78.400002,1.1,1687,,,,,,
1216,2022-05-03,,6157012,421376023,68.400002,68.800003,68,68.599998,0.2,3524,,,,,,
1216,2022-05-04,,3820185,260702555,68.300003,68.599998,68,68.199997,-0.40000001,2445,,,,,,
1216,2022-05-05,,4191945,285386307,68.199997,68.5,67.800003,68,-0.2,3510,,,,,,
1216,2022-05-06,,9325471,628875942,67.300003,68,67.199997,67.300003,-0.69999999,6566,,,,,,
1216,2022-05-09,,6153179,410125219,66.5,67.300003,66.400002,66.5,-0.80000001,5517,,,,,,
1216,2022-05-10,,6404179,427734658,66.300003,67.199997,66,66.900002,0.40000001,3341,,,,,,
1216,2022-05-11,,5991632,397736231,66.400002,67.300003,66.099998,66.300003,-0.60000002,4613,,,,,,
1216,2022-05-12,,7074162,464134948,66.199997,66.300003,65.199997,65.300003,-1,4867,,,,,,
1216,2022-05-13,,6372602,416499170,65.5,65.800003,65.099998,65.199997,-0.1,3634,,,,,,
1216,2022-05-16,,10348972,669217434,66,66,64.099998,64.5,-0.69999999,6310,,,,,,
1216,2022-05-17,,6247331,403523307,65,65.099998,64.199997,64.199997,-0.30000001,4249,,,,,,
1301,2022-05-03,,3522259,371518670,106,106,105,106,0.5,3083,,,,,,
1301,2022-05-04,,3890224,412379472,106,106.5,105.5,106.5,0.5,2915,,,,,,
1301,2022-05-05,,6135891,651636694,106.5,107,105.5,106,-0.5,3183,,,,,,
1301,2022-05-06,,4754741,500677834,105.5,106,105,105.5,-0.5,3059,,,,,,
1301,2022-05-09,,7509349,780045554,104.5,105,103.5,103.5,-2,4401,,,,,,
1301,2022-05-10,,8055927,827562083,102.5,103.5,101.5,103.5,0,4126,,,,,,
1301,2022-05-11,,6178441,632924016,102.5,103,102,102,-1.5,3513,,,,,,
1301,2022-05-12,,8945597,907630883,102,103,100.5,100.5,-1.5,5762,,,,,,
1301,2022-05-13,,16031757,1637809814,102,104,101.5,102.5,2,6370,,,,,,
1301,2022-05-16,,5857869,602169755,103.5,103.5,102.5,102.5,0,3303,,,,,,
1301,2022-05-17,,9511905,978966470,103,103.5,102,103,0.5,2862,,,,,,
1101,2022-05-03,,23968613,1088068092,45.900002,45.900002,45.099998,45.349998,-0.55000001,15424,,,,,,
1101,2022-05-04,,11217879,508781908,45.349998,45.599998,45.25,45.5,0.15000001,6188,,,,,,
1101,2022-05-05,,9393350,428713516,45.75,45.75,45.5,45.599998,0.1,5531,,,,,,
1101,2022-05-06,,14855830,670716709,45.349998,45.349998,45.099998,45.099998,-0.5,10085,,,,,,
1101,2022-05-09,,20101665,892540552,45,45.049999,44.150002,44.25,-0.85000002,15683,,,,,,
1101,2022-05-10,,19613514,860479194,44,44.099998,43.650002,43.849998,-0.40000001,12140,,,,,,
1101,2022-05-11,,33877400,1446335005,42.5,42.950001,42.5,42.650002,-1.2,23764,,,,,,
1101,2022-05-12,,43856703,1809844078,42.5,42.549999,40.799999,40.799999,-1.85,28776,,,,,,
1101,2022-05-13,,23315151,964550126,40.900002,41.799999,40.799999,41.599998,0.80000001,10783,,,,,,
1101,2022-05-16,,25056730,1034064589,41.599998,41.700001,41,41.25,-0.34999999,12850,,,,,,
1101,2022-05-17,,22795141,946271377,41.5,41.650002,41.25,41.5,0.25,8715,,,,,,
2002,2022-04-01,,36343157,1417749977,38.700001,39.200001,38.5,39.200001,0.25,11595,,,,,,
2002,2022-04-06,,36688721,1435623850,39.200001,39.349998,38.900002,39.349998,0.15000001,15055,,,,,,
2002,2022-04-07,,43366591,1694546143,39.049999,39.599998,38.75,38.799999,-0.55000001,23590,,,,,,
2002,2022-04-08,,30094082,1174793324,39,39.200001,38.849998,39.200001,0.40000001,11638,,,,,,
2002,2022-04-11,,30760423,1209696627,39.400002,39.5,39.099998,39.400002,0.2,13558,,,,,,
2002,2022-04-12,,37304164,1466618202,39.400002,39.549999,39.049999,39.349998,-5.0000001E-2,16787,,,,,,
2002,2022-04-13,,28139883,1112327931,39.450001,39.650002,39.400002,39.5,0.15000001,11769,,,,,,
2002,2022-04-14,,23006838,910122187,39.650002,39.700001,39.400002,39.5,0,10939,,,,,,
2002,2022-04-15,,29615662,1170557218,39.5,39.700001,39.400002,39.549999,5.0000001E-2,11627,,,,,,
2002,2022-04-18,,55212356,2139783636,39.5,39.549999,38.400002,38.5,-1.05,27076,,,,,,
2002,2022-04-19,,23355043,902599035,38.599998,38.799999,38.549999,38.599998,0.1,12287,,,,,,
2002,2022-04-20,,42370915,1625594586,38.75,38.799999,38.25,38.299999,-0.30000001,17246,,,,,,
2002,2022-04-21,,49910717,1898570440,38.349998,38.450001,37.799999,37.799999,-0.5,26260,,,,,,
2002,2022-04-22,,48037989,1812844344,37.700001,38.049999,37.549999,37.599998,-0.2,17681,,,,,,
2002,2022-04-25,,73031069,2688773549,37.299999,37.349998,36.599998,36.599998,-1,30178,,,,,,
2002,2022-04-26,,76597037,2778110001,36.599998,36.799999,36.099998,36.099998,-0.5,25842,,,,,,
2002,2022-04-27,,63208253,2245093353,35.700001,35.700001,35.299999,35.599998,-0.5,24903,,,,,,
