stock_code,date,time,tv,t,o,h,l,c,d,v,MA5,MA10,MA20,MA60,MA120,MA240
2308,2021/1/4,,9616722,2553353170,263.5,271,262.5,265,2,6878,,,,,,
2002,2021/1/4,,39225786,980693271,24.9,25.2,24.9,24.95,0.2,11332,,,,,,
1303,2021/1/4,,8073128,578243508,71,72.6,70.7,71.4,-0.5,3369,,,,,,
2881,2021/1/4,,18812189,870346477,46.15,46.5,45.95,46.25,-0.5,6361,,,,,,
2330,2021/1/4,,39489959,21127581248,530,540,528,536,6,33316,,,,,,
2891,2021/1/4,,25983998,509401472,19.6,19.7,19.55,19.55,-0.15,6643,,,,,,
2412,2021/1/4,,8022757,876444280,109,109.5,109,109,0,3676,,,,,,
2303,2021/1/4,,404287511,18275865330,46.15,46.5,44,45.55,-1.6,141658,,,,,,
2454,2021/1/4,,14143143,11014629474,755,798,752,792,45,13938,,,,,,
2317,2021/1/4,,233726746,22587972258,93.4,100,93.3,99.9,7.9,115789,,,,,,
2317,2021/1/5,,234178116,24176652664,101,105,101,104,4.1,114366,,,,,,
2454,2021/1/5,,9450974,7488249698,796,804,775,797,5,9484,,,,,,
2303,2021/1/5,,203151626,9201292538,44.9,46.35,44.55,46.35,0.8,68714,,,,,,
2412,2021/1/5,,6176722,674179757,109,109.5,108.5,109.5,0.5,2977,,,,,,
2891,2021/1/5,,25736876,504629808,19.55,19.7,19.45,19.6,0.05,6657,,,,,,
2330,2021/1/5,,34839391,18761831567,536,542,535,542,6,28512,,,,,,
2881,2021/1/5,,13617561,629127088,46.25,46.45,45.85,46.35,0.1,4998,,,,,,
1303,2021/1/5,,4927093,349917867,71.5,71.8,70.6,71,-0.4,2441,,,,,,
2002,2021/1/5,,184376509,4774323878,25.15,26.4,25.1,26,1.05,54718,,,,,,
2308,2021/1/5,,18236900,5052768448,270,283,269.5,276.5,11.5,12442,,,,,,
2308,2021/1/6,,30972893,9123977861,284,303.5,282,298,21.5,22763,,,,,,
2002,2021/1/6,,103147812,2680180499,26.5,26.8,25.2,25.5,-0.5,35750,,,,,,
1303,2021/1/6,,6507105,460675628,70.5,71.3,70.1,70.7,-0.3,3763,,,,,,
2881,2021/1/6,,21616050,991063840,46.1,46.25,45.55,45.6,-0.75,8797,,,,,,
2330,2021/1/6,,55614434,30572783229,555,555,541,549,7,55462,,,,,,
2891,2021/1/6,,29616026,579854540,19.55,19.7,19.5,19.55,-0.05,8448,,,,,,
2412,2021/1/6,,9003411,981592305,109,109.5,108.5,109.5,0,4931,,,,,,
2303,2021/1/6,,302206740,14254097781,47.55,47.75,45.9,46.95,0.6,103484,,,,,,
2454,2021/1/6,,9331483,7429735716,802,814,785,792,-5,9870,,,,,,
2317,2021/1/6,,222119287,23465513766,107.5,109,102,105,1,114160,,,,,,
2317,2021/1/7,,114653734,12242829524,108,108,105.5,107,2,59013,,,,,,
2454,2021/1/7,,7755897,6199710425,794,808,785,799,7,7099,,,,,,
2303,2021/1/7,,166045819,7740378209,47.35,47.6,46,46.2,-0.75,52112,,,,,,
2412,2021/1/7,,5445667,594480394,109,109.5,109,109,-0.5,3787,,,,,,
2891,2021/1/7,,39492678,780059131,19.65,19.8,19.6,19.8,0.25,9594,,,,,,
2330,2021/1/7,,53392763,30018630685,554,570,553,565,16,47905,,,,,,
2881,2021/1/7,,21724732,1003769801,46,46.45,45.95,46.2,0.6,8138,,,,,,
1303,2021/1/7,,5592302,400498910,71,71.9,71,71.5,0.8,3117,,,,,,
2002,2021/1/7,,52269322,1334938757,25.7,25.9,25.35,25.7,0.2,14363,,,,,,
2308,2021/1/7,,25367203,7787513900,298,321.5,298,316,18,18991,,,,,,
2308,2021/1/8,,30771661,9708435932,319,325,306,310,-6,25031,,,,,,
2002,2021/1/8,,56491757,1461826289,25.95,26.15,25.5,26,0.3,17077,,,,,,
1303,2021/1/8,,9795099,707838855,71.5,72.7,71.3,72.7,1.2,4814,,,,,,
2881,2021/1/8,,42271839,1987545824,46.45,47.7,46.25,47.45,1.25,14210,,,,,,
2330,2021/1/8,,62957148,36339702855,580,580,571,580,15,56426,,,,,,
2891,2021/1/8,,59881800,1190953264,19.85,20,19.75,20,0.2,12750,,,,,,
2412,2021/1/8,,11533683,1262573837,109,110,109,110,1,6194,,,,,,
2303,2021/1/8,,338482001,16095382370,46.7,48.35,46.3,47.85,1.65,99945,,,,,,
2454,2021/1/8,,13336420,11039865423,810,844,802,838,39,12816,,,,,,
2317,2021/1/8,,115547259,12431474200,109,109.5,106,108,1,61278,,,,,,
2317,2021/1/11,,70525408,7582606654,108,109,106.5,107.5,-0.5,39544,,,,,,
2454,2021/1/11,,8031597,6796558803,843,856,835,851,13,7931,,,,,,
2303,2021/1/11,,443638194,21795207081,48.2,50.1,47.55,50,2.15,138063,,,,,,
2412,2021/1/11,,14095893,1556172671,110,111,109.5,111,1,7029,,,,,,
2891,2021/1/11,,35804760,713479045,20,20,19.85,19.95,-0.05,9413,,,,,,
2330,2021/1/11,,52771778,30535694908,577,584,574,584,4,49539,,,,,,
2881,2021/1/11,,35639707,1691394977,47.7,48.35,46.65,47.4,-0.05,12418,,,,,,
1303,2021/1/11,,12487570,921298031,72.8,74.4,72.7,74.4,1.7,6131,,,,,,
2002,2021/1/11,,29988375,773384743,26,26.05,25.6,25.9,-0.1,10362,,,,,,
2308,2021/1/11,,16599358,5137076867,307,314,302,313,3,13399,,,,,,
2308,2021/1/12,,18679892,5913591287,315.5,323.5,312.5,314,1,14864,,,,,,
2002,2021/1/12,,45016298,1140510344,25.75,25.75,25.15,25.3,-0.6,14591,,,,,,
1303,2021/1/12,,7689658,564609953,74.9,74.9,72.8,73.6,-0.8,3855,,,,,,
